Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2019;47.026.208
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2019;23.042.428
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2019;23.983.780
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2019;41.989.330
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2019;20.522.283
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2019;21.467.047
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2019;5.036.878
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2019;2.520.145
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2019;2.516.733
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;10,71
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2019;10,94
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2019;10,49
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2019;7.364.092
TOTAL ESPAÑA;0-15 años;TOTAL;Hombres;2019;3.785.209
TOTAL ESPAÑA;0-15 años;TOTAL;Mujeres;2019;3.578.883
TOTAL ESPAÑA;0-15 años;Españoles;Ambos sexos;2019;6.589.009
TOTAL ESPAÑA;0-15 años;Españoles;Hombres;2019;3.386.006
TOTAL ESPAÑA;0-15 años;Españoles;Mujeres;2019;3.203.003
TOTAL ESPAÑA;0-15 años;Extranjeros;Ambos sexos;2019;775.083
TOTAL ESPAÑA;0-15 años;Extranjeros;Hombres;2019;399.203
TOTAL ESPAÑA;0-15 años;Extranjeros;Mujeres;2019;375.880
TOTAL ESPAÑA;0-15 años;% Extranjeros;Ambos sexos;2019;10,53
TOTAL ESPAÑA;0-15 años;% Extranjeros;Hombres;2019;10,55
TOTAL ESPAÑA;0-15 años;% Extranjeros;Mujeres;2019;10,50
TOTAL ESPAÑA;16-64 años;TOTAL;Ambos sexos;2019;30.604.923
TOTAL ESPAÑA;16-64 años;TOTAL;Hombres;2019;15.345.463
TOTAL ESPAÑA;16-64 años;TOTAL;Mujeres;2019;15.259.460
TOTAL ESPAÑA;16-64 años;Españoles;Ambos sexos;2019;26.687.026
TOTAL ESPAÑA;16-64 años;Españoles;Hombres;2019;13.386.114
TOTAL ESPAÑA;16-64 años;Españoles;Mujeres;2019;13.300.912
TOTAL ESPAÑA;16-64 años;Extranjeros;Ambos sexos;2019;3.917.897
TOTAL ESPAÑA;16-64 años;Extranjeros;Hombres;2019;1.959.349
TOTAL ESPAÑA;16-64 años;Extranjeros;Mujeres;2019;1.958.548
TOTAL ESPAÑA;16-64 años;% Extranjeros;Ambos sexos;2019;12,80
TOTAL ESPAÑA;16-64 años;% Extranjeros;Hombres;2019;12,77
TOTAL ESPAÑA;16-64 años;% Extranjeros;Mujeres;2019;12,83
TOTAL ESPAÑA;65 y más;TOTAL;Ambos sexos;2019;9.057.193
TOTAL ESPAÑA;65 y más;TOTAL;Hombres;2019;3.911.756
TOTAL ESPAÑA;65 y más;TOTAL;Mujeres;2019;5.145.437
TOTAL ESPAÑA;65 y más;Españoles;Ambos sexos;2019;8.713.295
TOTAL ESPAÑA;65 y más;Españoles;Hombres;2019;3.750.163
TOTAL ESPAÑA;65 y más;Españoles;Mujeres;2019;4.963.132
TOTAL ESPAÑA;65 y más;Extranjeros;Ambos sexos;2019;343.898
TOTAL ESPAÑA;65 y más;Extranjeros;Hombres;2019;161.593
TOTAL ESPAÑA;65 y más;Extranjeros;Mujeres;2019;182.305
TOTAL ESPAÑA;65 y más;% Extranjeros;Ambos sexos;2019;3,80
TOTAL ESPAÑA;65 y más;% Extranjeros;Hombres;2019;4,13
TOTAL ESPAÑA;65 y más;% Extranjeros;Mujeres;2019;3,54
02 Albacete;TOTAL EDADES;TOTAL;Ambos sexos;2019;388.167
02 Albacete;TOTAL EDADES;TOTAL;Hombres;2019;193.911
02 Albacete;TOTAL EDADES;TOTAL;Mujeres;2019;194.256
02 Albacete;TOTAL EDADES;Españoles;Ambos sexos;2019;363.581
02 Albacete;TOTAL EDADES;Españoles;Hombres;2019;180.648
02 Albacete;TOTAL EDADES;Españoles;Mujeres;2019;182.933
02 Albacete;TOTAL EDADES;Extranjeros;Ambos sexos;2019;24.586
02 Albacete;TOTAL EDADES;Extranjeros;Hombres;2019;13.263
02 Albacete;TOTAL EDADES;Extranjeros;Mujeres;2019;11.323
02 Albacete;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;6,33
02 Albacete;TOTAL EDADES;% Extranjeros;Hombres;2019;6,84
02 Albacete;TOTAL EDADES;% Extranjeros;Mujeres;2019;5,83
02 Albacete;0-15 años;TOTAL;Ambos sexos;2019;59.463
02 Albacete;0-15 años;TOTAL;Hombres;2019;30.791
02 Albacete;0-15 años;TOTAL;Mujeres;2019;28.672
02 Albacete;0-15 años;Españoles;Ambos sexos;2019;55.028
02 Albacete;0-15 años;Españoles;Hombres;2019;28.513
02 Albacete;0-15 años;Españoles;Mujeres;2019;26.515
02 Albacete;0-15 años;Extranjeros;Ambos sexos;2019;4.435
02 Albacete;0-15 años;Extranjeros;Hombres;2019;2.278
02 Albacete;0-15 años;Extranjeros;Mujeres;2019;2.157
02 Albacete;0-15 años;% Extranjeros;Ambos sexos;2019;7,46
02 Albacete;0-15 años;% Extranjeros;Hombres;2019;7,40
02 Albacete;0-15 años;% Extranjeros;Mujeres;2019;7,52
02 Albacete;16-64 años;TOTAL;Ambos sexos;2019;253.910
02 Albacete;16-64 años;TOTAL;Hombres;2019;129.859
02 Albacete;16-64 años;TOTAL;Mujeres;2019;124.051
02 Albacete;16-64 años;Españoles;Ambos sexos;2019;234.434
02 Albacete;16-64 años;Españoles;Hombres;2019;119.164
02 Albacete;16-64 años;Españoles;Mujeres;2019;115.270
02 Albacete;16-64 años;Extranjeros;Ambos sexos;2019;19.476
02 Albacete;16-64 años;Extranjeros;Hombres;2019;10.695
02 Albacete;16-64 años;Extranjeros;Mujeres;2019;8.781
02 Albacete;16-64 años;% Extranjeros;Ambos sexos;2019;7,67
02 Albacete;16-64 años;% Extranjeros;Hombres;2019;8,24
02 Albacete;16-64 años;% Extranjeros;Mujeres;2019;7,08
02 Albacete;65 y más;TOTAL;Ambos sexos;2019;74.794
02 Albacete;65 y más;TOTAL;Hombres;2019;33.261
02 Albacete;65 y más;TOTAL;Mujeres;2019;41.533
02 Albacete;65 y más;Españoles;Ambos sexos;2019;74.119
02 Albacete;65 y más;Españoles;Hombres;2019;32.971
02 Albacete;65 y más;Españoles;Mujeres;2019;41.148
02 Albacete;65 y más;Extranjeros;Ambos sexos;2019;675
02 Albacete;65 y más;Extranjeros;Hombres;2019;290
02 Albacete;65 y más;Extranjeros;Mujeres;2019;385
02 Albacete;65 y más;% Extranjeros;Ambos sexos;2019;0,90
02 Albacete;65 y más;% Extranjeros;Hombres;2019;0,87
02 Albacete;65 y más;% Extranjeros;Mujeres;2019;0,93
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.858.683
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Hombres;2019;920.915
03 Alicante/Alacant;TOTAL EDADES;TOTAL;Mujeres;2019;937.768
03 Alicante/Alacant;TOTAL EDADES;Españoles;Ambos sexos;2019;1.503.229
03 Alicante/Alacant;TOTAL EDADES;Españoles;Hombres;2019;741.358
03 Alicante/Alacant;TOTAL EDADES;Españoles;Mujeres;2019;761.871
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Ambos sexos;2019;355.454
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Hombres;2019;179.557
03 Alicante/Alacant;TOTAL EDADES;Extranjeros;Mujeres;2019;175.897
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;19,12
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Hombres;2019;19,50
03 Alicante/Alacant;TOTAL EDADES;% Extranjeros;Mujeres;2019;18,76
03 Alicante/Alacant;0-15 años;TOTAL;Ambos sexos;2019;291.695
03 Alicante/Alacant;0-15 años;TOTAL;Hombres;2019;150.233
03 Alicante/Alacant;0-15 años;TOTAL;Mujeres;2019;141.462
03 Alicante/Alacant;0-15 años;Españoles;Ambos sexos;2019;243.925
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2019;125.807
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2019;118.118
03 Alicante/Alacant;0-15 años;Extranjeros;Ambos sexos;2019;47.770
03 Alicante/Alacant;0-15 años;Extranjeros;Hombres;2019;24.426
03 Alicante/Alacant;0-15 años;Extranjeros;Mujeres;2019;23.344
03 Alicante/Alacant;0-15 años;% Extranjeros;Ambos sexos;2019;16,38
03 Alicante/Alacant;0-15 años;% Extranjeros;Hombres;2019;16,26
03 Alicante/Alacant;0-15 años;% Extranjeros;Mujeres;2019;16,50
03 Alicante/Alacant;16-64 años;TOTAL;Ambos sexos;2019;1.200.436
03 Alicante/Alacant;16-64 años;TOTAL;Hombres;2019;605.441
03 Alicante/Alacant;16-64 años;TOTAL;Mujeres;2019;594.995
03 Alicante/Alacant;16-64 años;Españoles;Ambos sexos;2019;968.545
03 Alicante/Alacant;16-64 años;Españoles;Hombres;2019;488.464
03 Alicante/Alacant;16-64 años;Españoles;Mujeres;2019;480.081
03 Alicante/Alacant;16-64 años;Extranjeros;Ambos sexos;2019;231.891
03 Alicante/Alacant;16-64 años;Extranjeros;Hombres;2019;116.977
03 Alicante/Alacant;16-64 años;Extranjeros;Mujeres;2019;114.914
03 Alicante/Alacant;16-64 años;% Extranjeros;Ambos sexos;2019;19,32
03 Alicante/Alacant;16-64 años;% Extranjeros;Hombres;2019;19,32
03 Alicante/Alacant;16-64 años;% Extranjeros;Mujeres;2019;19,31
03 Alicante/Alacant;65 y más;TOTAL;Ambos sexos;2019;366.552
03 Alicante/Alacant;65 y más;TOTAL;Hombres;2019;165.241
03 Alicante/Alacant;65 y más;TOTAL;Mujeres;2019;201.311
03 Alicante/Alacant;65 y más;Españoles;Ambos sexos;2019;290.759
03 Alicante/Alacant;65 y más;Españoles;Hombres;2019;127.087
03 Alicante/Alacant;65 y más;Españoles;Mujeres;2019;163.672
03 Alicante/Alacant;65 y más;Extranjeros;Ambos sexos;2019;75.793
03 Alicante/Alacant;65 y más;Extranjeros;Hombres;2019;38.154
03 Alicante/Alacant;65 y más;Extranjeros;Mujeres;2019;37.639
03 Alicante/Alacant;65 y más;% Extranjeros;Ambos sexos;2019;20,68
03 Alicante/Alacant;65 y más;% Extranjeros;Hombres;2019;23,09
03 Alicante/Alacant;65 y más;% Extranjeros;Mujeres;2019;18,70
04 Almería;TOTAL EDADES;TOTAL;Ambos sexos;2019;716.820
04 Almería;TOTAL EDADES;TOTAL;Hombres;2019;365.701
04 Almería;TOTAL EDADES;TOTAL;Mujeres;2019;351.119
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2019;570.912
04 Almería;TOTAL EDADES;Españoles;Hombres;2019;283.563
04 Almería;TOTAL EDADES;Españoles;Mujeres;2019;287.349
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2019;145.908
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2019;82.138
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2019;63.770
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;20,35
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2019;22,46
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2019;18,16
04 Almería;0-15 años;TOTAL;Ambos sexos;2019;129.371
04 Almería;0-15 años;TOTAL;Hombres;2019;66.367
04 Almería;0-15 años;TOTAL;Mujeres;2019;63.004
04 Almería;0-15 años;Españoles;Ambos sexos;2019;103.489
04 Almería;0-15 años;Españoles;Hombres;2019;53.087
04 Almería;0-15 años;Españoles;Mujeres;2019;50.402
04 Almería;0-15 años;Extranjeros;Ambos sexos;2019;25.882
04 Almería;0-15 años;Extranjeros;Hombres;2019;13.280
04 Almería;0-15 años;Extranjeros;Mujeres;2019;12.602
04 Almería;0-15 años;% Extranjeros;Ambos sexos;2019;20,01
04 Almería;0-15 años;% Extranjeros;Hombres;2019;20,01
04 Almería;0-15 años;% Extranjeros;Mujeres;2019;20,00
04 Almería;16-64 años;TOTAL;Ambos sexos;2019;481.884
04 Almería;16-64 años;TOTAL;Hombres;2019;251.801
04 Almería;16-64 años;TOTAL;Mujeres;2019;230.083
04 Almería;16-64 años;Españoles;Ambos sexos;2019;374.113
04 Almería;16-64 años;Españoles;Hombres;2019;189.308
04 Almería;16-64 años;Españoles;Mujeres;2019;184.805
04 Almería;16-64 años;Extranjeros;Ambos sexos;2019;107.771
04 Almería;16-64 años;Extranjeros;Hombres;2019;62.493
04 Almería;16-64 años;Extranjeros;Mujeres;2019;45.278
04 Almería;16-64 años;% Extranjeros;Ambos sexos;2019;22,36
04 Almería;16-64 años;% Extranjeros;Hombres;2019;24,82
04 Almería;16-64 años;% Extranjeros;Mujeres;2019;19,68
04 Almería;65 y más;TOTAL;Ambos sexos;2019;105.565
04 Almería;65 y más;TOTAL;Hombres;2019;47.533
04 Almería;65 y más;TOTAL;Mujeres;2019;58.032
04 Almería;65 y más;Españoles;Ambos sexos;2019;93.310
04 Almería;65 y más;Españoles;Hombres;2019;41.168
04 Almería;65 y más;Españoles;Mujeres;2019;52.142
04 Almería;65 y más;Extranjeros;Ambos sexos;2019;12.255
04 Almería;65 y más;Extranjeros;Hombres;2019;6.365
04 Almería;65 y más;Extranjeros;Mujeres;2019;5.890
