Provincias;Ramas de actividad;periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.855.556
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2020;768.976
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.194.438
02 Albacete;C. - De las cuales: Industria manufacturera;2020;910.902
02 Albacete;F. Construcción;2020;415.182
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.341.669
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.392.792
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.055.063
02 Albacete;Valor añadido bruto total;2020;7.168.120
02 Albacete;Impuestos netos sobre los productos;2020;687.436
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.855.556
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;33.979.911
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;2020;645.872
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.166.272
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;2020;2.559.700
03 Alicante/Alacant;F. Construcción;2020;2.436.323
03 Alicante/Alacant;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;8.362.099
03 Alicante/Alacant;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;8.549.617
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;7.846.163
03 Alicante/Alacant;Valor añadido bruto total;2020;31.006.346
03 Alicante/Alacant;Impuestos netos sobre los productos;2020;2.973.565
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;33.979.911
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.607.070
04 Almería;A. Agricultura, ganadería, silvicultura y pesca;2020;2.519.276
04 Almería;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.302.726
04 Almería;C. - De las cuales: Industria manufacturera;2020;1.011.494
04 Almería;F. Construcción;2020;648.214
04 Almería;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;3.232.834
04 Almería;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.687.981
04 Almería;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.937.782
04 Almería;Valor añadido bruto total;2020;13.328.813
04 Almería;Impuestos netos sobre los productos;2020;1.278.257
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.607.070
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.731.451
01 Araba/Álava;A. Agricultura, ganadería, silvicultura y pesca;2020;189.557
01 Araba/Álava;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.388.952
01 Araba/Álava;C. - De las cuales: Industria manufacturera;2020;3.145.920
01 Araba/Álava;F. Construcción;2020;429.096
01 Araba/Álava;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.669.800
01 Araba/Álava;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.327.165
01 Araba/Álava;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.700.268
01 Araba/Álava;Valor añadido bruto total;2020;10.704.838
01 Araba/Álava;Impuestos netos sobre los productos;2020;1.026.613
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.731.451
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
33 Asturias;A. Agricultura, ganadería, silvicultura y pesca;2020;284.291
33 Asturias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.762.056
33 Asturias;C. - De las cuales: Industria manufacturera;2020;2.508.510
33 Asturias;F. Construcción;2020;1.314.621
33 Asturias;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;4.189.893
33 Asturias;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;4.877.413
33 Asturias;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;5.025.246
33 Asturias;Valor añadido bruto total;2020;19.453.520
33 Asturias;Impuestos netos sobre los productos;2020;1.865.628
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.076.404
05 Ávila;A. Agricultura, ganadería, silvicultura y pesca;2020;141.187
05 Ávila;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;264.401
05 Ávila;C. - De las cuales: Industria manufacturera;2020;216.637
05 Ávila;F. Construcción;2020;264.628
05 Ávila;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;556.041
05 Ávila;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;651.021
05 Ávila;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;929.911
05 Ávila;Valor añadido bruto total;2020;2.807.189
