Provincias;Ramas de actividad;periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;8.171.130
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;2018;828.906
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018;1.120.254
02 Albacete;C. - De las cuales: Industria manufacturera;2018;877.124
02 Albacete;F. Construcción;2018;441.396
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2018;1.627.941
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2018;1.340.461
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2018;2.035.104
02 Albacete;Valor añadido bruto total;2018;7.394.062
02 Albacete;Impuestos netos sobre los productos;2018;777.068
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;8.171.130
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;35.995.303
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;2018;617.029
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018;3.164.499
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;2018;2.545.007
03 Alicante/Alacant;F. Construcción;2018;2.671.391
03 Alicante/Alacant;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2018;9.830.046
03 Alicante/Alacant;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2018;8.374.271
03 Alicante/Alacant;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2018;7.914.946
03 Alicante/Alacant;Valor añadido bruto total;2018;32.572.182
03 Alicante/Alacant;Impuestos netos sobre los productos;2018;3.423.121
