grupo_edad,origen,sexo,year,total,provincia_id
0-15 años,Españoles,Hombres,2020,27979.0,02
0-15 años,Españoles,Mujeres,2020,25953.0,02
0-15 años,Extranjeros,Hombres,2020,2445.0,02
0-15 años,Extranjeros,Mujeres,2020,2191.0,02
16-64 años,Españoles,Hombres,2020,118606.0,02
16-64 años,Españoles,Mujeres,2020,114793.0,02
16-64 años,Extranjeros,Hombres,2020,11488.0,02
16-64 años,Extranjeros,Mujeres,2020,9436.0,02
65 y más,Españoles,Hombres,2020,33242.0,02
65 y más,Españoles,Mujeres,2020,41373.0,02
65 y más,Extranjeros,Hombres,2020,321.0,02
65 y más,Extranjeros,Mujeres,2020,443.0,02
0-15 años,Españoles,Hombres,2020,123879.0,03
0-15 años,Españoles,Mujeres,2020,116230.0,03
0-15 años,Extranjeros,Hombres,2020,26167.0,03
0-15 años,Extranjeros,Mujeres,2020,24953.0,03
16-64 años,Españoles,Hombres,2020,488873.0,03
16-64 años,Españoles,Mujeres,2020,480020.0,03
16-64 años,Extranjeros,Hombres,2020,124773.0,03
16-64 años,Extranjeros,Mujeres,2020,121991.0,03
65 y más,Españoles,Hombres,2020,129671.0,03
65 y más,Españoles,Mujeres,2020,166597.0,03
65 y más,Extranjeros,Hombres,2020,38493.0,03
65 y más,Extranjeros,Mujeres,2020,38241.0,03
0-15 años,Españoles,Hombres,2020,52824.0,04
0-15 años,Españoles,Mujeres,2020,50175.0,04
0-15 años,Extranjeros,Hombres,2020,14105.0,04
0-15 años,Extranjeros,Mujeres,2020,13379.0,04
16-64 años,Españoles,Hombres,2020,189607.0,04
16-64 años,Españoles,Mujeres,2020,185285.0,04
16-64 años,Extranjeros,Hombres,2020,65918.0,04
16-64 años,Extranjeros,Mujeres,2020,47971.0,04
65 y más,Españoles,Hombres,2020,42233.0,04
65 y más,Españoles,Mujeres,2020,53226.0,04
65 y más,Extranjeros,Hombres,2020,6871.0,04
65 y más,Extranjeros,Mujeres,2020,6351.0,04
0-15 años,Españoles,Hombres,2020,23695.0,01
0-15 años,Españoles,Mujeres,2020,22182.0,01
0-15 años,Extranjeros,Hombres,2020,3252.0,01
0-15 años,Extranjeros,Mujeres,2020,3097.0,01
16-64 años,Españoles,Hombres,2020,93338.0,01
16-64 años,Españoles,Mujeres,2020,92747.0,01
16-64 años,Extranjeros,Hombres,2020,12870.0,01
16-64 años,Extranjeros,Mujeres,2020,12283.0,01
65 y más,Españoles,Hombres,2020,31035.0,01
65 y más,Españoles,Mujeres,2020,38527.0,01
65 y más,Extranjeros,Hombres,2020,334.0,01
65 y más,Extranjeros,Mujeres,2020,580.0,01
0-15 años,Españoles,Hombres,2020,57298.0,33
0-15 años,Españoles,Mujeres,2020,54177.0,33
0-15 años,Extranjeros,Hombres,2020,3158.0,33
0-15 años,Extranjeros,Mujeres,2020,2942.0,33
16-64 años,Españoles,Hombres,2020,297245.0,33
16-64 años,Españoles,Mujeres,2020,300516.0,33
16-64 años,Extranjeros,Hombres,2020,16903.0,33
16-64 años,Extranjeros,Mujeres,2020,19978.0,33
65 y más,Españoles,Hombres,2020,110476.0,33
65 y más,Españoles,Mujeres,2020,153751.0,33
65 y más,Extranjeros,Hombres,2020,986.0,33
65 y más,Extranjeros,Mujeres,2020,1354.0,33
0-15 años,Españoles,Hombres,2020,9370.0,05
0-15 años,Españoles,Mujeres,2020,8669.0,05
0-15 años,Extranjeros,Hombres,2020,1117.0,05
0-15 años,Extranjeros,Mujeres,2020,1033.0,05
16-64 años,Españoles,Hombres,2020,45880.0,05
16-64 años,Españoles,Mujeres,2020,42511.0,05
16-64 años,Extranjeros,Hombres,2020,3807.0,05
16-64 años,Extranjeros,Mujeres,2020,4145.0,05
65 y más,Españoles,Hombres,2020,18774.0,05
65 y más,Españoles,Mujeres,2020,21988.0,05
65 y más,Extranjeros,Hombres,2020,161.0,05
65 y más,Extranjeros,Mujeres,2020,209.0,05
0-15 años,Españoles,Hombres,2020,50481.0,06
0-15 años,Españoles,Mujeres,2020,47847.0,06
0-15 años,Extranjeros,Hombres,2020,1779.0,06
0-15 años,Extranjeros,Mujeres,2020,1662.0,06
16-64 años,Españoles,Hombres,2020,214177.0,06
16-64 años,Españoles,Mujeres,2020,207509.0,06
16-64 años,Extranjeros,Hombres,2020,7765.0,06
16-64 años,Extranjeros,Mujeres,2020,8925.0,06
65 y más,Españoles,Hombres,2020,57581.0,06
65 y más,Españoles,Mujeres,2020,73512.0,06
65 y más,Extranjeros,Hombres,2020,421.0,06
65 y más,Extranjeros,Mujeres,2020,478.0,06
0-15 años,Españoles,Hombres,2020,79066.0,07
0-15 años,Españoles,Mujeres,2020,74641.0,07
0-15 años,Extranjeros,Hombres,2020,16175.0,07
0-15 años,Extranjeros,Mujeres,2020,15382.0,07
16-64 años,Españoles,Hombres,2020,319755.0,07
16-64 años,Españoles,Mujeres,2020,310582.0,07
16-64 años,Extranjeros,Hombres,2020,87781.0,07
16-64 años,Extranjeros,Mujeres,2020,84937.0,07
65 y más,Españoles,Hombres,2020,74297.0,07
65 y más,Españoles,Mujeres,2020,93167.0,07
65 y más,Extranjeros,Hombres,2020,7224.0,07
65 y más,Extranjeros,Mujeres,2020,8536.0,07
0-15 años,Españoles,Hombres,2020,400042.0,08
0-15 años,Españoles,Mujeres,2020,377523.0,08
0-15 años,Extranjeros,Hombres,2020,68576.0,08
0-15 años,Extranjeros,Mujeres,2020,64219.0,08
16-64 años,Españoles,Hombres,2020,1506464.0,08
16-64 años,Españoles,Mujeres,2020,1519981.0,08
16-64 años,Extranjeros,Hombres,2020,369365.0,08
16-64 años,Extranjeros,Mujeres,2020,349893.0,08
65 y más,Españoles,Hombres,2020,446745.0,08
65 y más,Españoles,Mujeres,2020,609089.0,08
65 y más,Extranjeros,Hombres,2020,13124.0,08
65 y más,Extranjeros,Mujeres,2020,18381.0,08
0-15 años,Españoles,Hombres,2020,75820.0,48
0-15 años,Españoles,Mujeres,2020,71793.0,48
0-15 años,Extranjeros,Hombres,2020,6671.0,48
0-15 años,Extranjeros,Mujeres,2020,6109.0,48
16-64 años,Españoles,Hombres,2020,329974.0,48
16-64 años,Españoles,Mujeres,2020,330830.0,48
16-64 años,Extranjeros,Hombres,2020,35887.0,48
16-64 años,Extranjeros,Mujeres,2020,36621.0,48
65 y más,Españoles,Hombres,2020,110539.0,48
65 y más,Españoles,Mujeres,2020,152936.0,48
65 y más,Extranjeros,Hombres,2020,907.0,48
65 y más,Extranjeros,Mujeres,2020,1356.0,48
0-15 años,Españoles,Hombres,2020,22755.0,09
0-15 años,Españoles,Mujeres,2020,21490.0,09
0-15 años,Extranjeros,Hombres,2020,2408.0,09
0-15 años,Extranjeros,Mujeres,2020,2320.0,09
16-64 años,Españoles,Hombres,2020,103064.0,09
