categories,year,total,provincia_id,region_id
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7855556.0,02,7
"A. Agricultura, ganadería, silvicultura y pesca",2020,768976.0,02,7
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1194438.0,02,7
C. - De las cuales: Industria manufacturera,2020,910902.0,02,7
F. Construcción,2020,415182.0,02,7
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1341669.0,02,7
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1392792.0,02,7
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2055063.0,02,7
Valor añadido bruto total,2020,7168120.0,02,7
Impuestos netos sobre los productos,2020,687436.0,02,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7855556.0,02,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,33979911.0,03,15
"A. Agricultura, ganadería, silvicultura y pesca",2020,645872.0,03,15
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3166272.0,03,15
C. - De las cuales: Industria manufacturera,2020,2559700.0,03,15
F. Construcción,2020,2436323.0,03,15
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,8362099.0,03,15
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,8549617.0,03,15
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,7846163.0,03,15
Valor añadido bruto total,2020,31006346.0,03,15
Impuestos netos sobre los productos,2020,2973565.0,03,15
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,33979911.0,03,15
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14607070.0,04,4
"A. Agricultura, ganadería, silvicultura y pesca",2020,2519276.0,04,4
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1302726.0,04,4
C. - De las cuales: Industria manufacturera,2020,1011494.0,04,4
F. Construcción,2020,648214.0,04,4
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3232834.0,04,4
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2687981.0,04,4
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2937782.0,04,4
Valor añadido bruto total,2020,13328813.0,04,4
Impuestos netos sobre los productos,2020,1278257.0,04,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14607070.0,04,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11731451.0,01,10
"A. Agricultura, ganadería, silvicultura y pesca",2020,189557.0,01,10
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3388952.0,01,10
C. - De las cuales: Industria manufacturera,2020,3145920.0,01,10
F. Construcción,2020,429096.0,01,10
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1669800.0,01,10
