value,percentage,category,region_id,year,month
292.916,0.003855093312839237,Hidráulica,8742,2019,1
265.049,0.0036896073690305207,Hidráulica,8742,2019,2
298.315,0.002387959213466119,Hidráulica,8742,2019,3
296.753,0.003142676882337196,Hidráulica,8742,2019,4
305.942,0.0023869668871014174,Hidráulica,8742,2019,5
276.681,0.002762214889797927,Hidráulica,8742,2019,6
298.419,0.0015482570892157625,Hidráulica,8742,2019,7
299.29,0.0015692048407722674,Hidráulica,8742,2019,8
282.539,0.002225773690307081,Hidráulica,8742,2019,9
297.947,0.0026467071109852348,Hidráulica,8742,2019,10
296.523,0.0020212009648499043,Hidráulica,8742,2019,11
299.145,0.003385159331130674,Hidráulica,8742,2019,12
1109.656,0.014604280493902472,Hidroeólica,8742,2019,1
972.545,0.013538286123372613,Hidroeólica,8742,2019,2
1955.158,0.015650696612245413,Hidroeólica,8742,2019,3
1548.369,0.016397554402575752,Hidroeólica,8742,2019,4
2031.012,0.015846004769876722,Hidroeólica,8742,2019,5
1372.141,0.013698621521182222,Hidroeólica,8742,2019,6
3727.338,0.01933817043285884,Hidroeólica,8742,2019,7
3475.119,0.018220366724780918,Hidroeólica,8742,2019,8
2218.351,0.01747563094534349,Hidroeólica,8742,2019,9
1582.837,0.014060574341847832,Hidroeólica,8742,2019,10
2096.522,0.01429060237900281,Hidroeólica,8742,2019,11
1159.67,0.013122959506367512,Hidroeólica,8742,2019,12
55716.046,0.7332837958747331,Eólica,8742,2019,1
48413.317,0.6739362576822044,Eólica,8742,2019,2
96842.352,0.7752060295731996,Eólica,8742,2019,3
67113.055,0.710741412728851,Eólica,8742,2019,4
95432.451,0.7445662919505284,Eólica,8742,2019,5
74330.709,0.7420726076927465,Eólica,8742,2019,6
158185.457,0.8206975936890252,Eólica,8742,2019,7
158502.759,0.8310444608859636,Eólica,8742,2019,8
100474.589,0.7915144342572787,Eólica,8742,2019,9
89263.401,0.7929399462905367,Eólica,8742,2019,10
125116.103,0.8528336355084091,Eólica,8742,2019,11
68726.336,0.777715146851266,Eólica,8742,2019,12
17899.612,0.23557837237848725,Solar fotovoltaica,8742,2019,1
